p53_signaling_pathway	1049	572	95	39
Cytokinecytokine_receptor_interaction	111	427	124	39
CHP2	430	733	46	17
BAX	776	673	46	17
BCL2L1	776	553	46	17
DFFA	776	192	46	17
BCL2	1059	615	46	17
ATM	991	661	46	17
TP53	991	615	46	17
ENDOG	907	335	46	17
AIFM1	854	335	46	17
CASP3	776	767	46	17
XIAP	776	531	46	17
DFFB	776	224	46	17
CASP12	683	767	46	17
CASP9	634	432	46	17
CASP7	634	241	46	17
BAD	594	733	46	17
RELA	520	553	46	17
CASP6	634	99	46	17
PRK	431	634	46	17
NFKBIA	520	521	46	17
APAF1	520	449	46	17
CYCS	520	416	46	17
BCL2_1	468	381	46	17
BID	520	303	46	17
CASP8	520	241	46	17
CASP10	520	192	46	17
CAPN	430	767	46	17
AKT	430	601	46	17
MAP3K14	341	478	46	17
IKBKG	430	521	46	17
CFLAR	414	397	46	17
PIK3	289	601	46	17
IRAK	289	401	46	17
MYD88	289	384	46	17
FADD	289	358	46	17
TRADD	289	341	46	17
TRAF2	289	301	46	17
RIPK1	289	284	46	17
CSF2RB	201	673	46	17
NTRK1	201	583	46	17
IL1R	201	362	46	17
TNFRSF1A	201	244	46	17
TNFRSF10	201	184	46	17
FAS	201	157	46	17
IL3	114	635	46	17
NGF	114	583	46	17
IL1	114	362	46	17
TNF	114	245	46	17
Cell_cycle	992	761	95	39
TNFSF10	114	185	46	17
FASLG	114	157	46	17
undefined	289	232	46	34
